"d1_code"	"d2_code"	"d1_name"	"d2_name"	"direction_yes_no"	"n_dir12"	"n_dir21"	"n_total"
"O80"	"G04"	"Encounter for full-term uncomplicated delivery"	"Encephalitis, myelitis and encephalomyelitis"	1	87	10	97
"O80"	"G24"	"Encounter for full-term uncomplicated delivery"	"Dystonia"	1	160	0	160
"O80"	"G25"	"Encounter for full-term uncomplicated delivery"	"Other extrapyramidal and movement disorders"	1	79	0	79
"O80"	"G35"	"Encounter for full-term uncomplicated delivery"	"Multiple sclerosis"	1	911	8	919
"O80"	"G44"	"Encounter for full-term uncomplicated delivery"	"Other headache syndromes"	1	2840	0	2840
"O80"	"G45"	"Encounter for full-term uncomplicated delivery"	"Transient cerebral ischemic attacks and related syndromes"	1	437	0	437
"O80"	"G47"	"Encounter for full-term uncomplicated delivery"	"Sleep disorders"	1	703	0	703
"O80"	"G50"	"Encounter for full-term uncomplicated delivery"	"Disorders of trigeminal nerve"	1	318	0	318
"O80"	"G51"	"Encounter for full-term uncomplicated delivery"	"Facial nerve disorders"	1	737	115	852
"O80"	"G52"	"Encounter for full-term uncomplicated delivery"	"Disorders of other cranial nerves"	1	34	0	34
"O80"	"G54"	"Encounter for full-term uncomplicated delivery"	"Nerve root and plexus disorders"	1	302	0	302
"O80"	"G57"	"Encounter for full-term uncomplicated delivery"	"Mononeuropathies of lower limb"	1	567	0	567
"O80"	"G58"	"Encounter for full-term uncomplicated delivery"	"Other mononeuropathies"	1	62	0	62
"O80"	"G70"	"Encounter for full-term uncomplicated delivery"	"Myasthenia gravis and other myoneural disorders"	1	49	5	54
"O80"	"G72"	"Encounter for full-term uncomplicated delivery"	"Other and unspecified myopathies"	1	55	0	55
"O80"	"G83"	"Encounter for full-term uncomplicated delivery"	"Other paralytic syndromes"	1	148	1	149
"O80"	"G90"	"Encounter for full-term uncomplicated delivery"	"Disorders of autonomic nervous system"	1	101	9	110
"O80"	"G91"	"Encounter for full-term uncomplicated delivery"	"Hydrocephalus"	1	98	0	98
"O80"	"G95"	"Encounter for full-term uncomplicated delivery"	"Other and unspecified diseases of spinal cord"	1	97	0	97
"O80"	"G96"	"Encounter for full-term uncomplicated delivery"	"Other disorders of central nervous system"	1	824	0	824
"O80"	"G97"	"Encounter for full-term uncomplicated delivery"	"Intraop and postproc comp and disorders of nervous sys, NEC"	1	328	3	331
"O80"	"H00"	"Encounter for full-term uncomplicated delivery"	"Hordeolum and chalazion"	1	414	192	606
"O80"	"H04"	"Encounter for full-term uncomplicated delivery"	"Disorders of lacrimal system"	1	223	1	224
"O80"	"H05"	"Encounter for full-term uncomplicated delivery"	"Disorders of orbit"	1	206	11	217
"O80"	"H10"	"Encounter for full-term uncomplicated delivery"	"Conjunctivitis"	1	2221	1582	3803
"O80"	"H15"	"Encounter for full-term uncomplicated delivery"	"Disorders of sclera"	1	142	2	144
"O80"	"H18"	"Encounter for full-term uncomplicated delivery"	"Other disorders of cornea"	1	384	0	384
"O80"	"H26"	"Encounter for full-term uncomplicated delivery"	"Other cataract"	1	243	0	243
"O80"	"H33"	"Encounter for full-term uncomplicated delivery"	"Retinal detachments and breaks"	1	210	0	210
"O80"	"H34"	"Encounter for full-term uncomplicated delivery"	"Retinal vascular occlusions"	1	48	0	48
"O80"	"H35"	"Encounter for full-term uncomplicated delivery"	"Other retinal disorders"	1	447	0	447
"O80"	"H40"	"Encounter for full-term uncomplicated delivery"	"Glaucoma"	1	158	0	158
"O80"	"H46"	"Encounter for full-term uncomplicated delivery"	"Optic neuritis"	1	282	39	321
"O80"	"H47"	"Encounter for full-term uncomplicated delivery"	"Other disorders of optic [2nd] nerve and visual pathways"	1	171	8	179
"O80"	"H54"	"Encounter for full-term uncomplicated delivery"	"Blindness and low vision"	1	151	0	151
"O80"	"H57"	"Encounter for full-term uncomplicated delivery"	"Other disorders of eye and adnexa"	1	801	0	801
"O80"	"H60"	"Encounter for full-term uncomplicated delivery"	"Otitis externa"	1	730	195	925
"O80"	"H62"	"Encounter for full-term uncomplicated delivery"	"Disorders of external ear in diseases classified elsewhere"	1	37	5	42
"O80"	"H81"	"Encounter for full-term uncomplicated delivery"	"Disorders of vestibular function"	1	1469	0	1469
"O80"	"H82"	"Encounter for full-term uncomplicated delivery"	"Vertiginous syndromes in diseases classified elsewhere"	1	53	0	53
"O80"	"H91"	"Encounter for full-term uncomplicated delivery"	"Other and unspecified hearing loss"	1	1387	0	1387
"O80"	"H92"	"Encounter for full-term uncomplicated delivery"	"Otalgia and effusion of ear"	1	180	9	189
"O80"	"H93"	"Encounter for full-term uncomplicated delivery"	"Other disorders of ear, not elsewhere classified"	1	1114	0	1114
"O80"	"I10"	"Encounter for full-term uncomplicated delivery"	"Essential (primary) hypertension"	1	2490	0	2490
"O80"	"I24"	"Encounter for full-term uncomplicated delivery"	"Other acute ischemic heart diseases"	1	29	0	29
"O80"	"I26"	"Encounter for full-term uncomplicated delivery"	"Pulmonary embolism"	1	611	0	611
"O80"	"I30"	"Encounter for full-term uncomplicated delivery"	"Acute pericarditis"	1	147	2	149
"O80"	"I31"	"Encounter for full-term uncomplicated delivery"	"Other diseases of pericardium"	1	42	0	42
"O80"	"I34"	"Encounter for full-term uncomplicated delivery"	"Nonrheumatic mitral valve disorders"	1	166	0	166
"O80"	"I35"	"Encounter for full-term uncomplicated delivery"	"Nonrheumatic aortic valve disorders"	1	198	0	198
"O80"	"I42"	"Encounter for full-term uncomplicated delivery"	"Cardiomyopathy"	1	152	0	152
"O80"	"I44"	"Encounter for full-term uncomplicated delivery"	"Atrioventricular and left bundle-branch block"	1	107	0	107
"O80"	"I47"	"Encounter for full-term uncomplicated delivery"	"Paroxysmal tachycardia"	1	1382	199	1581
"O80"	"I51"	"Encounter for full-term uncomplicated delivery"	"Complications and ill-defined descriptions of heart disease"	1	276	53	329
"O80"	"I61"	"Encounter for full-term uncomplicated delivery"	"Nontraumatic intracerebral hemorrhage"	1	126	0	126
"O80"	"I65"	"Encounter for full-term uncomplicated delivery"	"Occls and stenosis of precerb art, not rslt in cereb infrc"	1	48	0	48
"O80"	"I69"	"Encounter for full-term uncomplicated delivery"	"Sequelae of cerebrovascular disease"	1	238	0	238
"O80"	"I73"	"Encounter for full-term uncomplicated delivery"	"Other peripheral vascular diseases"	1	368	0	368
"O80"	"I74"	"Encounter for full-term uncomplicated delivery"	"Arterial embolism and thrombosis"	1	66	0	66
"O80"	"I80"	"Encounter for full-term uncomplicated delivery"	"Phlebitis and thrombophlebitis"	1	1743	0	1743
"O80"	"I86"	"Encounter for full-term uncomplicated delivery"	"Varicose veins of other sites"	1	189	0	189
"O80"	"I89"	"Encounter for full-term uncomplicated delivery"	"Oth noninfective disorders of lymphatic vessels and nodes"	1	273	0	273
"O80"	"I95"	"Encounter for full-term uncomplicated delivery"	"Hypotension"	1	249	33	282
"O80"	"J02"	"Encounter for full-term uncomplicated delivery"	"Acute pharyngitis"	1	515	261	776
"O80"	"J03"	"Encounter for full-term uncomplicated delivery"	"Acute tonsillitis"	1	3832	1926	5758
"O80"	"J04"	"Encounter for full-term uncomplicated delivery"	"Acute laryngitis and tracheitis"	1	239	114	353
"O80"	"J11"	"Encounter for full-term uncomplicated delivery"	"Influenza due to unidentified influenza virus"	1	800	358	1158
"O80"	"J15"	"Encounter for full-term uncomplicated delivery"	"Bacterial pneumonia, not elsewhere classified"	1	1261	0	1261
"O80"	"J22"	"Encounter for full-term uncomplicated delivery"	"Unspecified acute lower respiratory infection"	1	151	0	151
"O80"	"J30"	"Encounter for full-term uncomplicated delivery"	"Vasomotor and allergic rhinitis"	1	1494	1047	2541
"O80"	"J37"	"Encounter for full-term uncomplicated delivery"	"Chronic laryngitis and laryngotracheitis"	1	106	20	126
"O80"	"J40"	"Encounter for full-term uncomplicated delivery"	"Bronchitis, not specified as acute or chronic"	1	112	11	123
"O80"	"J41"	"Encounter for full-term uncomplicated delivery"	"Simple and mucopurulent chronic bronchitis"	1	48	4	52
"O80"	"J45"	"Encounter for full-term uncomplicated delivery"	"Asthma"	1	3624	2298	5922
"O80"	"J47"	"Encounter for full-term uncomplicated delivery"	"Bronchiectasis"	1	154	0	154
"O80"	"J67"	"Encounter for full-term uncomplicated delivery"	"Hypersensitivity pneumonitis due to organic dust"	1	29	0	29
"O80"	"J85"	"Encounter for full-term uncomplicated delivery"	"Abscess of lung and mediastinum"	1	30	0	30
"O80"	"J90"	"Encounter for full-term uncomplicated delivery"	"Pleural effusion, not elsewhere classified"	1	113	0	113
"O80"	"J91"	"Encounter for full-term uncomplicated delivery"	"Pleural effusion in conditions classified elsewhere"	1	44	0	44
"O80"	"J93"	"Encounter for full-term uncomplicated delivery"	"Pneumothorax and air leak"	1	299	42	341
"O80"	"J94"	"Encounter for full-term uncomplicated delivery"	"Other pleural conditions"	1	59	0	59
"O80"	"J98"	"Encounter for full-term uncomplicated delivery"	"Other respiratory disorders"	1	270	3	273
"O80"	"K02"	"Encounter for full-term uncomplicated delivery"	"Dental caries"	1	291	68	359
"O80"	"K04"	"Encounter for full-term uncomplicated delivery"	"Diseases of pulp and periapical tissues"	1	674	13	687
"O80"	"K06"	"Encounter for full-term uncomplicated delivery"	"Other disorders of gingiva and edentulous alveolar ridge"	1	89	18	107
"O80"	"K12"	"Encounter for full-term uncomplicated delivery"	"Stomatitis and related lesions"	1	439	81	520
"O80"	"K14"	"Encounter for full-term uncomplicated delivery"	"Diseases of tongue"	1	101	11	112
"O80"	"K21"	"Encounter for full-term uncomplicated delivery"	"Gastro-esophageal reflux disease"	1	2239	0	2239
"O80"	"K30"	"Encounter for full-term uncomplicated delivery"	"Functional dyspepsia"	1	3751	0	3751
"O80"	"K40"	"Encounter for full-term uncomplicated delivery"	"Inguinal hernia"	1	1006	190	1196
"O80"	"K45"	"Encounter for full-term uncomplicated delivery"	"Other abdominal hernia"	1	607	0	607
"O80"	"K46"	"Encounter for full-term uncomplicated delivery"	"Unspecified abdominal hernia"	1	116	0	116
"O80"	"K50"	"Encounter for full-term uncomplicated delivery"	"Crohn's disease [regional enteritis]"	1	625	302	927
"O80"	"K51"	"Encounter for full-term uncomplicated delivery"	"Ulcerative colitis"	1	1489	426	1915
"O80"	"K55"	"Encounter for full-term uncomplicated delivery"	"Vascular disorders of intestine"	1	34	0	34
"O80"	"K58"	"Encounter for full-term uncomplicated delivery"	"Irritable bowel syndrome"	1	2002	706	2708
"O80"	"K60"	"Encounter for full-term uncomplicated delivery"	"Fissure and fistula of anal and rectal regions"	1	2792	0	2792
"O80"	"K61"	"Encounter for full-term uncomplicated delivery"	"Abscess of anal and rectal regions"	1	832	156	988
"O80"	"K62"	"Encounter for full-term uncomplicated delivery"	"Other diseases of anus and rectum"	1	2148	0	2148
"O80"	"K63"	"Encounter for full-term uncomplicated delivery"	"Other diseases of intestine"	1	260	0	260
"O80"	"K64"	"Encounter for full-term uncomplicated delivery"	"Hemorrhoids and perianal venous thrombosis"	1	2181	0	2181
"O80"	"K65"	"Encounter for full-term uncomplicated delivery"	"Peritonitis"	1	381	5	386
"O80"	"K75"	"Encounter for full-term uncomplicated delivery"	"Other inflammatory liver diseases"	1	81	0	81
"O80"	"K77"	"Encounter for full-term uncomplicated delivery"	"Liver disorders in diseases classified elsewhere"	1	27	2	29
"O80"	"K83"	"Encounter for full-term uncomplicated delivery"	"Other diseases of biliary tract"	1	504	0	504
"O80"	"K85"	"Encounter for full-term uncomplicated delivery"	"Acute pancreatitis"	1	1209	40	1249
"O80"	"K86"	"Encounter for full-term uncomplicated delivery"	"Other diseases of pancreas"	1	151	0	151
"O80"	"K92"	"Encounter for full-term uncomplicated delivery"	"Other diseases of digestive system"	1	574	104	678
"O80"	"L03"	"Encounter for full-term uncomplicated delivery"	"Cellulitis and acute lymphangitis"	1	998	639	1637
"O80"	"L08"	"Encounter for full-term uncomplicated delivery"	"Other local infections of skin and subcutaneous tissue"	1	1489	241	1730
"O80"	"L21"	"Encounter for full-term uncomplicated delivery"	"Seborrheic dermatitis"	1	134	32	166
"O80"	"L27"	"Encounter for full-term uncomplicated delivery"	"Dermatitis due to substances taken internally"	1	111	21	132
"O80"	"L40"	"Encounter for full-term uncomplicated delivery"	"Psoriasis"	1	852	70	922
"O80"	"L43"	"Encounter for full-term uncomplicated delivery"	"Lichen planus"	1	123	0	123
"O80"	"L50"	"Encounter for full-term uncomplicated delivery"	"Urticaria"	1	1701	566	2267
"O80"	"L65"	"Encounter for full-term uncomplicated delivery"	"Other nonscarring hair loss"	1	77	4	81
"O80"	"L71"	"Encounter for full-term uncomplicated delivery"	"Rosacea"	1	431	0	431
"O80"	"L72"	"Encounter for full-term uncomplicated delivery"	"Follicular cysts of skin and subcutaneous tissue"	1	643	0	643
"O80"	"L73"	"Encounter for full-term uncomplicated delivery"	"Other follicular disorders"	1	733	177	910
"O80"	"L81"	"Encounter for full-term uncomplicated delivery"	"Other disorders of pigmentation"	1	367	50	417
"O80"	"L93"	"Encounter for full-term uncomplicated delivery"	"Lupus erythematosus"	1	105	2	107
"O80"	"L98"	"Encounter for full-term uncomplicated delivery"	"Oth disorders of skin, subcu, not elsewhere classified"	1	792	18	810
"O80"	"M06"	"Encounter for full-term uncomplicated delivery"	"Other rheumatoid arthritis"	1	752	12	764
"O80"	"M10"	"Encounter for full-term uncomplicated delivery"	"Gout"	1	95	1	96
"O80"	"M18"	"Encounter for full-term uncomplicated delivery"	"Osteoarthritis of first carpometacarpal joint"	1	111	0	111
"O80"	"M19"	"Encounter for full-term uncomplicated delivery"	"Other and unspecified osteoarthritis"	1	777	0	777
"O80"	"M20"	"Encounter for full-term uncomplicated delivery"	"Acquired deformities of fingers and toes"	1	2578	0	2578
"O80"	"M21"	"Encounter for full-term uncomplicated delivery"	"Other acquired deformities of limbs"	1	807	124	931
"O80"	"M25"	"Encounter for full-term uncomplicated delivery"	"Other joint disorder, not elsewhere classified"	1	3630	0	3630
"O80"	"M43"	"Encounter for full-term uncomplicated delivery"	"Other deforming dorsopathies"	1	570	15	585
"O80"	"M46"	"Encounter for full-term uncomplicated delivery"	"Other inflammatory spondylopathies"	1	573	0	573
"O80"	"M51"	"Encounter for full-term uncomplicated delivery"	"Thoracic, thoracolum, and lumbosacral intvrt disc disorders"	1	5631	0	5631
"O80"	"M53"	"Encounter for full-term uncomplicated delivery"	"Other and unspecified dorsopathies, not elsewhere classified"	1	1706	0	1706
"O80"	"M54"	"Encounter for full-term uncomplicated delivery"	"Dorsalgia"	1	12741	0	12741
"O80"	"M65"	"Encounter for full-term uncomplicated delivery"	"Synovitis and tenosynovitis"	1	4450	0	4450
"O80"	"M66"	"Encounter for full-term uncomplicated delivery"	"Spontaneous rupture of synovium and tendon"	1	116	0	116
"O80"	"M67"	"Encounter for full-term uncomplicated delivery"	"Other disorders of synovium and tendon"	1	4823	0	4823
"O80"	"M72"	"Encounter for full-term uncomplicated delivery"	"Fibroblastic disorders"	1	557	0	557
"O80"	"M79"	"Encounter for full-term uncomplicated delivery"	"Oth and unsp soft tissue disorders, not elsewhere classified"	1	8748	0	8748
"O80"	"M80"	"Encounter for full-term uncomplicated delivery"	"Osteoporosis with current pathological fracture"	1	33	0	33
"O80"	"M81"	"Encounter for full-term uncomplicated delivery"	"Osteoporosis without current pathological fracture"	1	350	0	350
"O80"	"M85"	"Encounter for full-term uncomplicated delivery"	"Other disorders of bone density and structure"	1	457	0	457
"O80"	"M89"	"Encounter for full-term uncomplicated delivery"	"Other disorders of bone"	1	259	53	312
"O80"	"M94"	"Encounter for full-term uncomplicated delivery"	"Other disorders of cartilage"	1	172	40	212
"O80"	"M95"	"Encounter for full-term uncomplicated delivery"	"Oth acquired deformities of ms sys and connective tissue"	1	481	165	646
"O80"	"M99"	"Encounter for full-term uncomplicated delivery"	"Biomechanical lesions, not elsewhere classified"	1	494	0	494
"O80"	"N13"	"Encounter for full-term uncomplicated delivery"	"Obstructive and reflux uropathy"	1	763	293	1056
"O80"	"N15"	"Encounter for full-term uncomplicated delivery"	"Other renal tubulo-interstitial diseases"	1	42	5	47
"O80"	"N17"	"Encounter for full-term uncomplicated delivery"	"Acute kidney failure"	1	82	0	82
"O80"	"N28"	"Encounter for full-term uncomplicated delivery"	"Oth disorders of kidney and ureter, not elsewhere classified"	1	141	19	160
"O80"	"N30"	"Encounter for full-term uncomplicated delivery"	"Cystitis"	1	4800	2726	7526
"O80"	"N32"	"Encounter for full-term uncomplicated delivery"	"Other disorders of bladder"	1	176	0	176
"O80"	"N35"	"Encounter for full-term uncomplicated delivery"	"Urethral stricture"	1	44	0	44
"O80"	"N36"	"Encounter for full-term uncomplicated delivery"	"Other disorders of urethra"	1	280	43	323
"O80"	"N64"	"Encounter for full-term uncomplicated delivery"	"Other disorders of breast"	1	6366	0	6366
"O80"	"N71"	"Encounter for full-term uncomplicated delivery"	"Inflammatory disease of uterus, except cervix"	1	3829	1265	5094
"O80"	"N76"	"Encounter for full-term uncomplicated delivery"	"Other inflammation of vagina and vulva"	1	2016	818	2834
"O80"	"N81"	"Encounter for full-term uncomplicated delivery"	"Female genital prolapse"	1	7099	0	7099
"O80"	"N83"	"Encounter for full-term uncomplicated delivery"	"Noninflammatory disord of ovary, fallop and broad ligament"	1	7593	0	7593
"O80"	"N84"	"Encounter for full-term uncomplicated delivery"	"Polyp of female genital tract"	1	2472	0	2472
"O80"	"N89"	"Encounter for full-term uncomplicated delivery"	"Other noninflammatory disorders of vagina"	1	1082	230	1312
"O80"	"N90"	"Encounter for full-term uncomplicated delivery"	"Other noninflammatory disorders of vulva and perineum"	1	1901	322	2223
"O80"	"N93"	"Encounter for full-term uncomplicated delivery"	"Other abnormal uterine and vaginal bleeding"	1	5181	0	5181
"O80"	"N99"	"Encounter for full-term uncomplicated delivery"	"Intraop and postproc comp and disorders of GU sys, NEC"	1	1150	145	1295
"O80"	"O07"	"Encounter for full-term uncomplicated delivery"	"Failed attempted termination of pregnancy"	1	214	101	315
"O80"	"O30"	"Encounter for full-term uncomplicated delivery"	"Multiple gestation"	1	7584	0	7584
"O80"	"O40"	"Encounter for full-term uncomplicated delivery"	"Polyhydramnios"	1	1734	1096	2830
